"Mutation Number","Percentage","Accuracy","Loss"
12,85,0.9904285714,0.0329045008
13,85,0.9889285714,0.0411417648
14,85,0.9902857143,0.0350758838
15,85,0.9877857143,0.0368604423
16,85,0.9868571429,0.04751545
17,85,0.9905714286,0.0332185559
18,85,0.9902142857,0.0358616057
19,85,0.9904285714,0.034589836
0,85,0.9885,0.0379161865
1,85,0.9889285714,0.0392961863
2,85,0.9905,0.0343601602
3,85,0.9891428571,0.0423374165
4,85,0.9883571429,0.0439300573
0,90,0.9882857143,0.0481097002
1,90,0.9888571429,0.0411810558
2,90,0.9901428571,0.036181638
3,90,0.9892142857,0.0371540123
4,90,0.9895,0.0405602269
5,90,0.9886428571,0.0398958608
6,90,0.989,0.0404517052
7,90,0.9888571429,0.0428724609
8,90,0.9875714286,0.0466247944
9,90,0.9867857143,0.0529296484
10,90,0.9895714286,0.0396896584
11,90,0.9883571429,0.0454726383
12,90,0.9885714286,0.040723245
13,90,0.9874285714,0.0436743738
14,90,0.9905,0.0333750265
15,90,0.9887857143,0.0403503331
16,90,0.9871428571,0.0535838982
17,90,0.9893571429,0.0365920948
18,90,0.9900714286,0.0361195761
19,90,0.9885,0.0372320842
0,90,0.9895,0.0385621437
1,90,0.9870714286,0.0432149777
2,90,0.9896428571,0.0400039371
3,90,0.9892857143,0.0404345334
4,90,0.9875,0.043505061
0,95,0.9870714286,0.0514412903
1,95,0.9867857143,0.0476664174
2,95,0.9871428571,0.0461612084
3,95,0.9895714286,0.0407779227
4,95,0.9885,0.045130149
5,95,0.9862857143,0.0547581407
6,95,0.9867142857,0.0453720527
7,95,0.9851428571,0.056379337
8,95,0.9867142857,0.0435315343
9,95,0.9864285714,0.0495639997
10,95,0.9862142857,0.0542658452
11,95,0.9864285714,0.0530651601
12,95,0.9868571429,0.0466640001
13,95,0.985,0.0491230812
14,95,0.9878571429,0.0424783301
15,95,0.9877142857,0.0390825917
16,95,0.9805714286,0.0667848434
17,95,0.9854285714,0.0494250152
18,95,0.9860714286,0.047764403
19,95,0.9869285714,0.0431588451
0,95,0.9862142857,0.0521408734
1,95,0.9867857143,0.0498417029
2,95,0.9879285714,0.043626588
3,95,0.9857142857,0.0520490493
4,95,0.9873571429,0.0470340943
0,99,0.9763571429,0.0840896171
1,99,0.9739285714,0.1036301922
2,99,0.9787857143,0.0776831962
3,99,0.9675714286,0.1337201844
4,99,0.9755714286,0.0958100408
5,99,0.9742857143,0.1015031878
6,99,0.9777857143,0.0780868031
7,99,0.9762142857,0.093617577
8,99,0.9675,0.1295780039
9,99,0.9727857143,0.1056955837
10,99,0.9835714286,0.0607862554
11,99,0.9768571429,0.0939841302
12,99,0.9796428571,0.0736272893
13,99,0.977,0.0867592465
14,99,0.9796428571,0.0713610348
15,99,0.9712857143,0.1041889624
16,99,0.9785714286,0.0809014162
17,99,0.9815714286,0.0693496525
18,99,0.9751428571,0.089424177
19,99,0.9730714286,0.0918723537
0,99,0.9703571429,0.1057984281
1,99,0.9797857143,0.0748485023
2,99,0.9768571429,0.0913028935
3,99,0.9723571429,0.1103017454
4,99,0.9815714286,0.0667557596
0,100,0.8931428571,0.9926101642
1,100,0.8932142857,1.2126643355
2,100,0.892,1.0826708978
3,100,0.8899285714,1.0322369531
4,100,0.8917857143,1.3362878576
5,100,0.8929285714,1.2888962724
6,100,0.8999285714,1.1166719111
7,100,0.8921428571,1.3055498492
8,100,0.8879285714,1.2421305252
9,100,0.8904285714,1.2463643039
10,100,0.8906428571,1.0770537047
11,100,0.8903571429,1.2486521182
12,100,0.8944285714,1.2470541618
13,100,0.8885714286,1.0157417068
14,100,0.8955714286,1.0984780701
15,100,0.893,1.2750482868
16,100,0.8944285714,1.1467655369
17,100,0.8927857143,1.1341677136
18,100,0.8934285714,1.114414032
19,100,0.8935,1.0315471448
0,100,0.893,0.9849141609
1,100,0.8931428571,1.2920932867
2,100,0.8916428571,1.3131197316
3,100,0.8898571429,0.9172327335
4,100,0.8926428571,1.0619039647
