"Run Number","Mutation Number","Percentage","Accuracy","Loss"
0,0,5,0.9897142857,0.036139868
0,1,5,0.9905714286,0.0344049342
0,2,5,0.9918571429,0.0305338082
0,3,5,0.9900714286,0.0363376189
0,4,5,0.9905,0.0383601853
1,0,5,0.9915,0.0306494745
1,1,5,0.9904285714,0.0359363502
1,2,5,0.9913571429,0.0330164025
1,3,5,0.9905714286,0.0329032543
1,4,5,0.9904285714,0.037826234
2,0,5,0.991,0.0338062577
2,1,5,0.9893571429,0.0338843966
2,2,5,0.9915,0.0341296957
2,3,5,0.9900714286,0.0342101944
2,4,5,0.9912142857,0.0358215325
3,0,5,0.9901428571,0.0326355274
3,1,5,0.9902857143,0.0337974458
3,2,5,0.991,0.0352332193
3,3,5,0.9912142857,0.03319926
3,4,5,0.9903571429,0.0383059542
4,0,5,0.9907857143,0.0339580186
4,1,5,0.9912142857,0.0328204689
4,2,5,0.9915,0.0329210762
4,3,5,0.9903571429,0.0354375521
4,4,5,0.9910714286,0.0392349085
0,0,10,0.9906428571,0.0354499172
0,1,10,0.9905714286,0.0352030889
0,2,10,0.9912142857,0.0351673276
0,3,10,0.9902142857,0.0383422579
0,4,10,0.9903571429,0.037280835
1,0,10,0.9895714286,0.0358441064
1,1,10,0.9904285714,0.0363880346
1,2,10,0.9902142857,0.0336261903
1,3,10,0.9901428571,0.0376313351
1,4,10,0.9907857143,0.0354443867
2,0,10,0.9909285714,0.0324001308
2,1,10,0.9904285714,0.0374452854
2,2,10,0.9912142857,0.0344422461
2,3,10,0.9901428571,0.0399401426
2,4,10,0.9898571429,0.0379406773
3,0,10,0.9909285714,0.0328786024
3,1,10,0.9897857143,0.0375551296
3,2,10,0.9907857143,0.033328993
3,3,10,0.9897857143,0.0374228537
3,4,10,0.9908571429,0.0350810904
4,0,10,0.9905,0.0353804588
4,1,10,0.9908571429,0.0343823552
4,2,10,0.9911428571,0.0380194816
4,3,10,0.9903571429,0.0331957381
4,4,10,0.9903571429,0.038253781
0,0,25,0.9895714286,0.0363312063
0,1,25,0.9898571429,0.0371940452
0,2,25,0.9902857143,0.0350128548
0,3,25,0.9898571429,0.0386950189
0,4,25,0.9865,0.0473562264
1,0,25,0.99,0.0413919984
1,1,25,0.9897142857,0.0368059949
1,2,25,0.9912857143,0.0332208663
1,3,25,0.9895,0.0400179308
1,4,25,0.9893571429,0.0411172722
2,0,25,0.9891428571,0.0375646462
2,1,25,0.9893571429,0.0409811785
2,2,25,0.9908571429,0.0346627975
2,3,25,0.9885,0.0420860773
2,4,25,0.9886428571,0.0435140497
3,0,25,0.9902142857,0.0349619687
3,1,25,0.9899285714,0.0363846719
3,2,25,0.9911428571,0.0340471936
3,3,25,0.9897857143,0.0361414125
3,4,25,0.989,0.043638455
