"Run Number","Mutation Number","Percentage","Flip Percentage","Accuracy","Loss"
0,1,50,50,0.9913571429,0.0298858903
0,2,50,50,0.9895714286,0.0343201498
0,3,50,50,0.9902142857,0.0346840934
0,4,50,50,0.9907142857,0.0337946872
0,,50,50,0.9905714286,0.0319510178
1,1,50,50,0.9911428571,0.0337815734
1,2,50,50,0.9908571429,0.0357366054
1,3,50,50,0.9889285714,0.033766277
1,4,50,50,0.9906428571,0.0341538917
1,,50,50,0.9902857143,0.03422195
2,1,50,50,0.9913571429,0.0324357857
2,2,50,50,0.9913571429,0.0312574144
2,3,50,50,0.9912857143,0.0337066139
2,4,50,50,0.9919285714,0.0327349637
2,,50,50,0.9902857143,0.0347742108
3,1,50,50,0.9904285714,0.0379516824
3,2,50,50,0.9905714286,0.0356187591
3,3,50,50,0.9912142857,0.0330845123
3,4,50,50,0.9899285714,0.0376078916
3,,50,50,0.9905,0.0402355341
4,1,50,50,0.9902857143,0.0363103408
4,2,50,50,0.9904285714,0.0370563083
4,3,50,50,0.9895,0.0407541533
4,4,50,50,0.9893571429,0.0401613439
4,,50,50,0.9905714286,0.0403487149
0,1,50,75,0.9897857143,0.0342732748
0,2,50,75,0.9908571429,0.032986068
0,3,50,75,0.9900714286,0.0340857095
0,4,50,75,0.9912857143,0.0317908869
0,,50,75,0.9911428571,0.0352768354
1,1,50,75,0.9904285714,0.0319005835
1,2,50,75,0.9911428571,0.0312623589
1,3,50,75,0.9909285714,0.0311349897
1,4,50,75,0.9904285714,0.0363535121
1,,50,75,0.9900714286,0.032210903
2,1,50,75,0.9920714286,0.0300535843
2,2,50,75,0.9899285714,0.0340846937
2,3,50,75,0.9908571429,0.0330084749
2,4,50,75,0.9897857143,0.03651011
2,,50,75,0.9909285714,0.0351724069
3,1,50,75,0.9901428571,0.0346864448
3,2,50,75,0.99,0.0343176724
3,3,50,75,0.9917142857,0.0310386305
3,4,50,75,0.9900714286,0.0360997586
3,,50,75,0.9902142857,0.0330261005
4,1,50,75,0.9902857143,0.0362699143
4,2,50,75,0.9905714286,0.0408548575
4,3,50,75,0.9907142857,0.0345416193
4,4,50,75,0.9904285714,0.0362195483
4,,50,75,0.9905,0.0381418427
0,1,50,100,0.9909285714,0.0328302153
0,2,50,100,0.9907142857,0.032136441
0,3,50,100,0.9915,0.0347540299
0,4,50,100,0.9907857143,0.0327838872
0,,50,100,0.9905,0.0366109765
1,1,50,100,0.9887142857,0.040633142
1,2,50,100,0.9912142857,0.031401605
1,3,50,100,0.9909285714,0.0327379442
1,4,50,100,0.9897142857,0.0347465867
1,,50,100,0.9907142857,0.0337604089
2,1,50,100,0.9907857143,0.0306715234
2,2,50,100,0.9904285714,0.0364647719
2,3,50,100,0.9913571429,0.0349771681
2,4,50,100,0.9912142857,0.0333886404
2,,50,100,0.9901428571,0.0360340656
3,1,50,100,0.9905,0.034005902
3,2,50,100,0.9915714286,0.031497873
3,3,50,100,0.9900714286,0.0352362052
3,4,50,100,0.9910714286,0.0345856732
3,,50,100,0.9915714286,0.0309203999
4,1,50,100,0.9895,0.0397886696
4,2,50,100,0.9906428571,0.0351790914
4,3,50,100,0.99,0.0388278315
4,4,50,100,0.9903571429,0.037945711
4,,50,100,0.9905714286,0.0353984303
0,1,75,25,0.9893571429,0.0362072735
0,2,75,25,0.9900714286,0.0334926392
0,3,75,25,0.9890714286,0.0363738917
0,4,75,25,0.9906428571,0.0358057059
0,,75,25,0.9898571429,0.0348513492
1,1,75,25,0.9892857143,0.0385336712
1,2,75,25,0.9899285714,0.0401727712
1,3,75,25,0.9895714286,0.0386898879
1,4,75,25,0.9896428571,0.0371636458
1,,75,25,0.9892142857,0.0397481368
2,1,75,25,0.9906428571,0.0333534814
2,2,75,25,0.9902857143,0.0337371886
2,3,75,25,0.9903571429,0.0365091378
2,4,75,25,0.9917142857,0.0320561583
2,,75,25,0.991,0.0342369322
3,1,75,25,0.9891428571,0.0413021627
3,2,75,25,0.9911428571,0.0355360201
3,3,75,25,0.9905,0.0350018149
3,4,75,25,0.9895,0.0376533285
3,,75,25,0.9886428571,0.0402050221
4,1,75,25,0.9897142857,0.0370484783
4,2,75,25,0.9909285714,0.0363907001
4,3,75,25,0.9906428571,0.0388763117
4,4,75,25,0.9894285714,0.0460288266
4,,75,25,0.9892142857,0.0406892253
0,1,75,50,0.9892857143,0.0361526739
0,2,75,50,0.9900714286,0.0358679909
0,3,75,50,0.9895,0.0353953933
0,4,75,50,0.9893571429,0.0393668972
0,,75,50,0.9897857143,0.036849935
1,1,75,50,0.9887142857,0.0404828159
1,2,75,50,0.9892857143,0.0381855283
1,3,75,50,0.9909285714,0.0339999795
1,4,75,50,0.9897857143,0.0375151298
1,,75,50,0.9900714286,0.0364085776
2,1,75,50,0.99,0.0350291114
2,2,75,50,0.9903571429,0.0349289159
2,3,75,50,0.9893571429,0.0372686301
2,4,75,50,0.991,0.0336652579
2,,75,50,0.9895714286,0.0369822046
3,1,75,50,0.9893571429,0.039368365
3,2,75,50,0.9908571429,0.036657032
3,3,75,50,0.9902857143,0.0360996183
3,4,75,50,0.9899285714,0.0342125032
3,,75,50,0.9897857143,0.041703578
4,1,75,50,0.9902857143,0.0384185504
4,2,75,50,0.9889285714,0.0407022113
4,3,75,50,0.9888571429,0.0440701523
4,4,75,50,0.9905,0.038739373
4,,75,50,0.9889285714,0.0409249539
0,1,75,75,0.9897857143,0.0341317858
0,2,75,75,0.9904285714,0.0365579377
0,3,75,75,0.9902857143,0.0335056728
0,4,75,75,0.9891428571,0.0368341352
0,,75,75,0.9895,0.0354747682
1,1,75,75,0.9904285714,0.0365109237
1,2,75,75,0.9897142857,0.0366186639
1,3,75,75,0.9891428571,0.0413856924
1,4,75,75,0.9914285714,0.0311306594
1,,75,75,0.9894285714,0.037407941
2,1,75,75,0.9906428571,0.0348779167
2,2,75,75,0.9889285714,0.0405314147
2,3,75,75,0.991,0.0341042152
2,4,75,75,0.9906428571,0.0326182344
2,,75,75,0.9897142857,0.0388824392
3,1,75,75,0.9892142857,0.0380727287
3,2,75,75,0.9900714286,0.0375110352
3,3,75,75,0.9894285714,0.0360747179
3,4,75,75,0.9900714286,0.0345203973
3,,75,75,0.9907142857,0.0345466916
4,1,75,75,0.9904285714,0.0359495365
4,2,75,75,0.9886428571,0.0436320253
4,3,75,75,0.9891428571,0.0416699418
4,4,75,75,0.9881428571,0.0422867585
4,,75,75,0.9893571429,0.0398187785
0,1,75,100,0.9911428571,0.0331037913
0,2,75,100,0.9899285714,0.0377800631
0,3,75,100,0.99,0.0343528339
0,4,75,100,0.9884285714,0.0377352073
0,,75,100,0.9896428571,0.0374733369
1,1,75,100,0.9876428571,0.0395811542
1,2,75,100,0.9889285714,0.0365091344
1,3,75,100,0.9899285714,0.0376430197
1,4,75,100,0.9908571429,0.0335271489
1,,75,100,0.9907142857,0.0346974939
2,1,75,100,0.9907142857,0.0358020056
2,2,75,100,0.9902142857,0.0312064986
2,3,75,100,0.9914285714,0.0331634218
2,4,75,100,0.9903571429,0.0338378982
2,,75,100,0.9901428571,0.0331449748
3,1,75,100,0.9908571429,0.0371714839
3,2,75,100,0.9904285714,0.0354463387
3,3,75,100,0.9897142857,0.0395948226
3,4,75,100,0.9899285714,0.0381679871
3,,75,100,0.9905714286,0.0335211101
4,1,75,100,0.988,0.0412813586
4,2,75,100,0.9892857143,0.0394300473
4,3,75,100,0.9897142857,0.0410162627
4,4,75,100,0.9895,0.0374143714
4,,75,100,0.9907142857,0.0378301884
0,1,80,25,0.9906428571,0.0354030075
0,2,80,25,0.9885,0.0394990395
0,3,80,25,0.9886428571,0.036658811
0,4,80,25,0.9891428571,0.040017583
0,,80,25,0.9899285714,0.0357000193
1,1,80,25,0.9885714286,0.0428819524
1,2,80,25,0.9884285714,0.0415291981
1,3,80,25,0.9904285714,0.0349737855
1,4,80,25,0.9891428571,0.0370588122
1,,80,25,0.9893571429,0.0379213592
2,1,80,25,0.9892857143,0.0368822752
2,2,80,25,0.9905714286,0.0359478264
2,3,80,25,0.9906428571,0.030798475
2,4,80,25,0.9917142857,0.0322975031
2,,80,25,0.9910714286,0.0327160294
3,1,80,25,0.99,0.0389639147
3,2,80,25,0.9911428571,0.0357381444
3,3,80,25,0.9903571429,0.0353433835
3,4,80,25,0.9905714286,0.0357339572
3,,80,25,0.9903571429,0.0372947817
4,1,80,25,0.9894285714,0.0390656017
4,2,80,25,0.9895,0.0413599992
4,3,80,25,0.99,0.0402785906
4,4,80,25,0.9888571429,0.043257438
4,,80,25,0.989,0.0420996682
0,1,80,50,0.9880714286,0.0388866671
0,2,80,50,0.99,0.0352267209
0,3,80,50,0.9905714286,0.034738961
0,4,80,50,0.9885714286,0.0397088564
0,,80,50,0.9897142857,0.0358539806
1,1,80,50,0.9891428571,0.0382330985
1,2,80,50,0.9898571429,0.0378714789
1,3,80,50,0.9888571429,0.041610198
1,4,80,50,0.9897142857,0.0362862997
1,,80,50,0.9885714286,0.0425754045
2,1,80,50,0.9902857143,0.0341591945
2,2,80,50,0.9899285714,0.037007474
2,3,80,50,0.9910714286,0.0327525095
2,4,80,50,0.9908571429,0.0338531631
2,,80,50,0.9912142857,0.03363817
3,1,80,50,0.9899285714,0.0368297191
3,2,80,50,0.9905714286,0.0373095211
3,3,80,50,0.9895,0.0398353328
3,4,80,50,0.989,0.0367674556
3,,80,50,0.9893571429,0.0384951249
4,1,80,50,0.9895,0.0384871365
4,2,80,50,0.9897142857,0.03829194
4,3,80,50,0.9894285714,0.0395290629
4,4,80,50,0.9895714286,0.0396381
4,,80,50,0.9892857143,0.0401137147
0,1,80,75,0.99,0.036306269
0,2,80,75,0.9898571429,0.0391806273
0,3,80,75,0.9877857143,0.044474888
0,4,80,75,0.9900714286,0.0367614812
0,,80,75,0.9886428571,0.0412835665
1,1,80,75,0.9875,0.0429622968
1,2,80,75,0.9878571429,0.043780103
1,3,80,75,0.9908571429,0.0330027349
1,4,80,75,0.9901428571,0.0368062709
1,,80,75,0.9897142857,0.0348419649
2,1,80,75,0.9913571429,0.0332599113
2,2,80,75,0.9912142857,0.0335380426
2,3,80,75,0.9907142857,0.0341551679
2,4,80,75,0.9895714286,0.0373432706
2,,80,75,0.9895714286,0.0404675948
3,1,80,75,0.9905714286,0.0327550722
3,2,80,75,0.9905,0.0338102691
3,3,80,75,0.9895,0.0362651817
3,4,80,75,0.9897857143,0.0372303808
3,,80,75,0.9905,0.0346246958
4,1,80,75,0.9865,0.0534049737
4,2,80,75,0.9889285714,0.0431210692
4,3,80,75,0.9897142857,0.0390819384
4,4,80,75,0.9902142857,0.0411449671
4,,80,75,0.9883571429,0.0448342692
0,1,80,100,0.9892857143,0.0367821122
0,2,80,100,0.9890714286,0.0382908064
0,3,80,100,0.9882142857,0.0418466282
0,4,80,100,0.9898571429,0.0379213747
0,,80,100,0.9907857143,0.0378524687
1,1,80,100,0.9894285714,0.0359760677
1,2,80,100,0.9883571429,0.0381805392
1,3,80,100,0.9892857143,0.0382271654
1,4,80,100,0.9896428571,0.037093116
1,,80,100,0.9890714286,0.0376737918
2,1,80,100,0.9902142857,0.0369489757
2,2,80,100,0.9906428571,0.0346562592
2,3,80,100,0.9907857143,0.0379758041
2,4,80,100,0.9906428571,0.0357989016
2,,80,100,0.9884285714,0.0409995857
3,1,80,100,0.9911428571,0.0335180309
3,2,80,100,0.9881428571,0.0482443804
3,3,80,100,0.9891428571,0.0341751699
3,4,80,100,0.9866428571,0.0489054182
3,,80,100,0.9901428571,0.0373923204
4,1,80,100,0.9868571429,0.0475201898
4,2,80,100,0.9891428571,0.0415627531
4,3,80,100,0.9888571429,0.0412270496
4,4,80,100,0.9895714286,0.0391866113
4,,80,100,0.9903571429,0.0341991753
0,1,85,25,0.9891428571,0.0413983626
0,2,85,25,0.9901428571,0.0358102827
0,3,85,25,0.9899285714,0.0368221109
0,4,85,25,0.9888571429,0.0386154845
0,,85,25,0.988,0.0419842858
1,1,85,25,0.9904285714,0.0366546523
1,2,85,25,0.9890714286,0.0405211246
1,3,85,25,0.9878571429,0.0438199922
1,4,85,25,0.9892142857,0.0387946684
2,1,85,25,0.9892142857,0.037691332
2,2,85,25,0.9902142857,0.0372323685
2,3,85,25,0.9894285714,0.037146544
2,4,85,25,0.9902857143,0.037485858
3,1,85,25,0.9898571429,0.034924952
3,2,85,25,0.9907142857,0.0364015128
3,3,85,25,0.9891428571,0.0442354435
3,4,85,25,0.9898571429,0.0369219457
3,1,85,25,0.9877142857,0.0449004143
3,2,85,25,0.9891428571,0.0413566127
3,3,85,25,0.9885,0.0405042597
3,4,85,25,0.9896428571,0.0403612203
4,1,85,25,0.9887142857,0.0418115826
4,2,85,25,0.9893571429,0.0433776269
4,3,85,25,0.9882857143,0.0445696867
4,4,85,25,0.9877857143,0.0449417046
0,1,85,50,0.9898571429,0.0404779093
0,2,85,50,0.9895,0.0378600718
0,3,85,50,0.9889285714,0.0401028443
0,4,85,50,0.9882857143,0.0390499046
0,,85,50,0.9888571429,0.0390332867
1,1,85,50,0.9902142857,0.0347700772
1,2,85,50,0.9890714286,0.0373329565
1,3,85,50,0.9903571429,0.0347887605
1,4,85,50,0.9887142857,0.0378727563
2,1,85,50,0.9894285714,0.0363493663
2,2,85,50,0.9899285714,0.0361316654
2,3,85,50,0.9905,0.0348739561
2,4,85,50,0.9908571429,0.0344475877
3,1,85,50,0.9897142857,0.0373583887
3,2,85,50,0.9893571429,0.0404409581
3,3,85,50,0.9905,0.0391716167
3,4,85,50,0.9898571429,0.0388246294
3,1,85,50,0.9903571429,0.0332365239
3,2,85,50,0.99,0.0352886688
3,3,85,50,0.9900714286,0.0361513323
3,4,85,50,0.9897142857,0.0390858191
4,1,85,50,0.9889285714,0.0413075882
