Mutation Number,Run Number,Accuracy,Loss
1,0,0.9494285714285714,0.17209199370869568
1,1,0.9490714285714286,0.19156310209099736
1,2,0.9549285714285715,0.16973948795454843
1,3,0.9502857142857143,0.18164101545512676
1,4,0.9500714285714286,0.18560707282381397
1,5,0.9581428571428572,0.162532919551645
1,6,0.9512142857142857,0.18654287185200624
1,7,0.9535,0.16342399921161788
1,8,0.9502857142857143,0.1847868111687047
1,9,0.951,0.20296372901222537
1,10,0.9487857142857142,0.19744590167594808
1,11,0.9565,0.15794730173902852
1,12,0.9532142857142857,0.17584094247221946
1,13,0.95,0.19186673905274698
1,14,0.9482857142857143,0.18510166868035283
1,15,0.9625,0.14252780792329992
1,16,0.9507857142857142,0.17279510667068618
1,17,0.9536428571428571,0.1684731220581702
1,18,0.9492857142857143,0.18043239623946802
1,19,0.9562857142857143,0.1678620053231716
2,0,0.12585714285714286,2.630289631434849
2,1,0.09507142857142857,2.6431174812316893
2,2,0.10578571428571429,2.6074758927481514
2,3,0.1412142857142857,2.48891117640904
2,4,0.235,2.5619718279157366
2,5,0.19892857142857143,2.4825169533320834
2,6,0.19742857142857143,2.401606949397496
2,7,0.206,2.4290086509159634
2,8,0.19985714285714284,2.2442485100882394
2,9,0.209,2.466993095942906
2,10,0.09307142857142857,2.3577970215933663
2,11,0.128,2.3748376366751534
2,12,0.2087142857142857,2.3504447724478585
2,13,0.10171428571428572,2.9891135599953786
2,14,0.12007142857142857,2.4328800694601878
2,15,0.10307142857142858,2.6699157262529645
2,16,0.21135714285714285,2.3197772840772357
2,17,0.29964285714285716,2.418135022844587
2,18,0.25842857142857145,2.3483460810525076
2,19,0.08935714285714286,2.397468230656215
3,0,0.13157142857142856,2.223448697226388
3,1,0.15214285714285714,2.1899110889434814
3,2,0.15628571428571428,2.1885726985931395
3,3,0.1672857142857143,2.1891313383919853
3,4,0.16692857142857143,2.1984506105695454
3,5,0.14485714285714285,2.195232024874006
3,6,0.15621428571428572,2.1864812052590508
3,7,0.1687142857142857,2.1904984190804617
3,8,0.15007142857142858,2.1952671969277517
3,9,0.1747142857142857,2.1789554247174943
3,10,0.16564285714285715,2.183558378764561
3,11,0.14592857142857144,2.2171020592280795
3,12,0.15542857142857142,2.1916301386696952
3,13,0.16192857142857142,2.18021396119254
3,14,0.17964285714285713,2.19592108971732
3,15,0.18071428571428572,2.1907748859950473
3,16,0.14892857142857144,2.1915087544577463
3,17,0.14692857142857144,2.1851311010633196
3,18,0.1675,2.173104194368635
3,19,0.16892857142857143,2.2247286940983364
4,0,0.9885714285714285,0.18420692266737712
4,1,0.9889285714285714,0.1784504608426874
4,2,0.9887857142857143,0.1807530456270593
4,3,0.9890714285714286,0.17614787578583752
4,4,0.9880714285714286,0.1922659709113081
4,5,0.9855714285714285,0.23256120913370198
4,6,0.988,0.19341726289477643
4,7,0.9882857142857143,0.18881209223612003
4,8,0.9885,0.18535821492332355
4,9,0.9864285714285714,0.2187456985201248
4,10,0.9874285714285714,0.20262760339465408
4,11,0.9867142857142858,0.21414052895138164
4,12,0.9881428571428571,0.19111467865536153
4,13,0.9863571428571428,0.21989699159350623
4,14,0.99,0.16118107291631362
4,15,0.9892857142857143,0.17269399792808443
4,16,0.9840714285714286,0.2567383518219079
4,17,0.9899285714285714,0.162332364899782
4,18,0.9864285714285714,0.21874569879260305
4,19,0.9872857142857143,0.20493018817902559
5,0,0.9899285714285714,0.03322002854744486
5,1,0.9904285714285714,0.03443819520674879
5,2,0.9928571428571429,0.027745468915560716
5,3,0.9907142857142858,0.03491187316018061
5,4,0.9905,0.03460186630089343
5,5,0.9872142857142857,0.04723737328814891
5,6,0.9896428571428572,0.037765499729517614
5,7,0.9905,0.03899835728714866
5,8,0.9902142857142857,0.03806425678796326
5,9,0.9885,0.04454476483682811
5,10,0.9911428571428571,0.036461202321402326
5,11,0.9900714285714286,0.04147514698675254
5,12,0.9895,0.03369061263209941
5,13,0.9904285714285714,0.04077436689557492
5,14,0.9908571428571429,0.030532819789435183
5,15,0.9906428571428572,0.034614007810173854
5,16,0.9895714285714285,0.04064832668387057
5,17,0.9914285714285714,0.030576995257273667
5,18,0.9906428571428572,0.03251058670622193
5,19,0.9907857142857143,0.03275287652320071
6,0,0.9900714285714286,0.034978703717987496
6,1,0.9902142857142857,0.03321643336253016
6,2,0.9916428571428572,0.030811652364924415
6,3,0.9905714285714285,0.03424857871553728
6,4,0.9897857142857143,0.036938009853998664
6,5,0.9892857142857143,0.03971369416198338
6,6,0.9896428571428572,0.03751889089697631
6,7,0.9893571428571428,0.04566773088764499
6,8,0.9905714285714285,0.03515580537405393
6,9,0.9902142857142857,0.04089553956789054
6,10,0.9905714285714285,0.03496467868260308
6,11,0.9907857142857143,0.035205476083761046
6,12,0.9903571428571428,0.035529176088125496
6,13,0.9901428571428571,0.03727464075507097
6,14,0.9907857142857143,0.03006915299121777
6,15,0.9902142857142857,0.03315830352800445
6,16,0.9887857142857143,0.04709176814940091
6,17,0.9906428571428572,0.030291166719227994
6,18,0.9906428571428572,0.03666015508370271
6,19,0.9903571428571428,0.03507371984674936
7,0,0.9895,0.03802727878473005
7,1,0.9910714285714286,0.03588549452508388
7,2,0.9921428571428571,0.03363074508821748
7,3,0.9912142857142857,0.03414357310250541
7,4,0.9904285714285714,0.0369886697070828
7,5,0.9907142857142858,0.0336669868444894
7,6,0.9902142857142857,0.03665842310506819
7,7,0.9905,0.03847166437636146
7,8,0.9904285714285714,0.03480328218981075
7,9,0.9890714285714286,0.03982050942937557
7,10,0.99,0.040003507252801294
7,11,0.9906428571428572,0.035927926835566594
7,12,0.9901428571428571,0.03221747300154779
7,13,0.9886428571428572,0.039838311816418094
7,14,0.9912142857142857,0.03164923943593801
7,15,0.9907142857142858,0.03187380155294652
7,16,0.9897857142857143,0.04419533162856572
7,17,0.9917857142857143,0.029852868693961813
7,18,0.9897142857142858,0.03602352345766849
7,19,0.9903571428571428,0.034415814194286735
19,0,0.9907142857142858,0.03640219826576504
19,1,0.9900714285714286,0.03509826767016005
19,2,0.9904285714285714,0.036366242431058446
19,3,0.9913571428571428,0.03296386660332999
19,4,0.9904285714285714,0.03867764427867951
19,5,0.9901428571428571,0.036214112057891074
19,6,0.9910714285714286,0.0337078129175934
19,7,0.9904285714285714,0.036903207105619784
19,8,0.9903571428571428,0.034643518213132794
19,9,0.9886428571428572,0.04000759883076015
19,10,0.9887142857142858,0.04403571213735424
19,11,0.9912142857142857,0.03649014295578153
19,12,0.9904285714285714,0.03172562861373132
19,13,0.9893571428571428,0.03898940903972834
19,14,0.9912857142857143,0.028306519514789606
19,15,0.9889285714285714,0.03854412709943322
19,16,0.9885,0.04052256655905824
19,17,0.9914285714285714,0.03138956912726696
19,18,0.9904285714285714,0.031129577424102797
19,19,0.9908571428571429,0.0329746386380466
20,0,0.9913571428571428,0.030601972435172813
20,1,0.9902142857142857,0.031893888634729334
20,2,0.9912142857142857,0.032939697280607236
20,3,0.9904285714285714,0.038012942348262836
20,4,0.9905,0.037103699415027225
20,5,0.9899285714285714,0.03431715467681248
20,6,0.9899285714285714,0.03459986862362504
20,7,0.99,0.03584971790966093
20,8,0.9905,0.03506203654209197
20,9,0.9897857142857143,0.04080576004856526
20,10,0.9896428571428572,0.039415460615140285
20,11,0.9892142857142857,0.039673147755213516
20,12,0.991,0.03404847136747828
20,13,0.9896428571428572,0.038756826617434854
20,14,0.9923571428571428,0.02640494539537966
20,15,0.9905714285714285,0.029810635056191782
20,16,0.9884285714285714,0.043104966707726164
20,17,0.9909285714285714,0.031009848743558645
20,18,0.9913571428571428,0.031093348191924244
20,19,0.9890714285714286,0.042853949059198905
21,0,0.9897857142857143,0.038476324519507867
21,1,0.9902142857142857,0.033008995194312385
21,2,0.9915,0.032012136576160886
21,3,0.9906428571428572,0.0337704985789013
21,4,0.9897857142857143,0.03823992589561177
21,5,0.9902142857142857,0.03462473137069069
21,6,0.9892142857142857,0.03731417467691582
21,7,0.9901428571428571,0.03735383706560814
21,8,0.9896428571428572,0.03985969233781361
21,9,0.9892142857142857,0.04181380537931662
21,10,0.9891428571428571,0.03466907090414315
21,11,0.9907857142857143,0.03546139123349868
21,12,0.9901428571428571,0.03341313380777345
21,13,0.9886428571428572,0.04355020479617919
