Mutation Number,Run Number,Accuracy,Loss
7,0,0.7155833333333333,1.0656969555219014
7,1,0.6991666666666667,1.2037808617750803
7,2,0.7106666666666667,1.1371816341082255
7,3,0.71025,1.1766567536195118
7,4,0.5765833333333333,1.8770058139165242
7,5,0.6925,1.1282777679761251
7,6,0.68575,1.300222031911214
7,7,0.7536666666666667,0.9416010367870331
7,8,0.6999166666666666,1.2117382898330689
7,9,0.6846666666666666,1.2056234335899354
7,10,0.6303333333333333,1.5651903665860494
7,11,0.7065,1.1633678455352783
7,12,0.687,1.3116390590667724
7,13,0.6811666666666667,1.289941773414612
7,14,0.6801666666666667,1.4213962319691975
7,15,0.6775833333333333,1.2828281051317851
7,16,0.69325,1.1230048588116963
7,17,0.6610833333333334,1.470178902467092
7,18,0.7439166666666667,0.9592351563771566
7,19,0.7305833333333334,1.0252715901533762
8,0,0.6885833333333333,1.2332699824968973
8,1,0.7446666666666667,1.0312109405994416
8,2,0.7299166666666667,1.1249693279266357
8,3,0.66825,1.4534062843322755
8,4,0.6980833333333333,1.1716531291007997
8,5,0.64525,1.7415011839866639
8,6,0.7058333333333333,1.212648182551066
8,7,0.6799166666666666,1.3394442817370096
8,8,0.7015,1.2788970274130502
8,9,0.6494166666666666,1.3843245142300924
8,10,0.6789166666666666,1.291807735522588
8,11,0.7214166666666667,1.0771257516543071
8,12,0.6780833333333334,1.3379932859738668
8,13,0.7410833333333333,1.0656074374516804
8,14,0.671,1.354581829547882
8,15,0.6758333333333333,1.3517686915397644
8,16,0.7056666666666667,1.0855177545547485
8,17,0.7444166666666666,1.0198190140724182
8,18,0.7188333333333333,1.1280529557863872
8,19,0.6899166666666666,1.2707453600565592
10,0,0.676,1.3504587965011596
10,1,0.6070833333333333,1.8648997575441997
10,2,0.6968333333333333,1.1649292912483216
10,3,0.6725,1.2120589164098103
10,4,0.7063333333333334,1.1777792375882468
10,5,0.6910833333333334,1.2024083262284597
10,6,0.6515833333333333,1.4726320951779683
10,7,0.6930833333333334,1.2407763821283977
10,8,0.7203333333333334,1.114256321589152
10,9,0.6593333333333333,1.4239287815093995
10,10,0.62875,1.5847538447380065
10,11,0.5726666666666667,1.9196082884470622
10,12,0.6978333333333333,1.1945642113685608
10,13,0.70875,1.1443094379107157
10,14,0.7409166666666667,1.0343362736701964
10,15,0.6554166666666666,1.4193074412345885
10,16,0.6521666666666667,1.492208656946818
10,17,0.725,1.0615552338759104
10,18,0.6995833333333333,1.1630327310562134
10,19,0.7023333333333334,1.150446123600006
11,0,0.10266666666666667,3.718895674387614
11,1,0.10066666666666667,3.2103184814453125
