"","num","perc","min","max","mean","orig_mean","sd","p-value","cohen_eff","power","killed","interval","bayesian_killed","glm_p","glm_killed","1percent","5percent","10percent"
"1",1,0.001,0.7771429,0.9919286,0.9582742912,0.99065142858,0.0758347551605376,1,"medium",0.99947173701278,"nk","bla bla","nk",0.0379274421611027,"k",0.16,0.16,0.16
"2",2,0.005,0.89192855,0.9917857,0.9832342868,0.99065142858,0.0255322632687612,1,"small",0.993906739527667,"nk","bla bla","nk",0.153057579109854,"nk",0.08,0.08,0
"3",3,0.01,0.7987857,0.9919286,0.9714542804,0.99065142858,0.0547107807438799,1,"small",0.997686068735598,"nk","bla bla","nk",0.0857718968664239,"nk",0.12,0.12,0.08
"4",4,0.05,0.7829286,0.9907143,0.9298914228,0.99065142858,0.0743064102900957,1,"large",0.999999997179402,"nk","bla bla","nk",0.000164700795565786,"k",0.44,0.44,0.32
"5",5,0.1,0.5774286,0.9892143,0.8025771464,0.99065142858,0.120803507974153,1,"large",1,"nk","bla bla","nk",4.67379468727689e-10,"k",0.84,0.84,0.8
