"","num","perc","min","max","mean","orig_mean","sd","p-value","cohen_eff","power","killed","interval","bayesian_killed","glm_p","glm_killed","1percent","5percent","10percent"
"1",1,0.001,0.92142856,0.9919286,0.9847971436,0.99065142858,0.0179893777650081,1,"small",0.996428036252796,"nk","bla bla","nk",0.110582737311524,"nk",0.12,0.08,0
"2",2,0.005,0.9890714,0.9917143,0.9904942848,0.99065142858,0.000838568887202668,1,"negligible",0.968663879163243,"nk","bla bla","nk",0.497242583454287,"nk",0,0,0
"3",3,0.01,0.9775,0.9918572,0.9900457088,0.99065142858,0.00273891563356333,1,"small",0.983821347693211,"nk","bla bla","nk",0.293114465431046,"nk",0.04,0,0
"4",4,0.05,0.7584286,0.99207145,0.9640400016,0.99065142858,0.0508079733916328,1,"medium",0.999946871504717,"nk","bla bla","nk",0.0117821058472351,"k",0.36,0.2,0.08
"5",5,0.1,0.66814286,0.9902857,0.9131885736,0.99065142858,0.0873574845839167,1,"large",0.999999999850589,"nk","bla bla","nk",5.37976068377434e-05,"k",0.72,0.48,0.32
