"","num","perc","min","max","mean","orig_mean","sd","p-value","cohen_eff","power","killed","interval","bayesian_killed","glm_p","glm_killed","1percent","5percent","10percent"
"1",1,0.001,0.898,0.9915714,0.98680571,0.99065142858,0.0185155459151524,1,"small",0.982936305049202,"nk","bla bla","nk",0.304665075737896,"nk",0.04,0.04,0
"2",2,0.005,0.8897143,0.9918572,0.9829628524,0.99065142858,0.0259576056943577,1,"small",0.994394459502457,"nk","bla bla","nk",0.145324726445495,"nk",0.08,0.08,0.04
"3",3,0.01,0.98892856,0.9919286,0.9905028576,0.99065142858,0.000919252754606876,1,"negligible",0.965708414787064,"nk","bla bla","nk",0.54176626782013,"nk",0,0,0
"4",4,0.05,0.7656429,0.9909286,0.9287085768,0.99065142858,0.0637547883454857,1,"large",0.999999999997078,"nk","bla bla","nk",1.30735868720487e-05,"k",0.56,0.56,0.16
"5",5,0.1,0.61485714,0.9909286,0.8970142972,0.99065142858,0.0982089701948088,1,"large",0.99999999999303,"nk","bla bla","nk",1.77350601263893e-05,"k",0.64,0.6,0.4
