"","num","perc","min","max","mean","orig_mean","sd","p-value","cohen_eff","power","killed","interval","bayesian_killed","glm_p","glm_killed","1percent","5percent","10percent"
"1",1,0,0.09035714,0.9915,0.725989287,0.99031785715,0.41452419046509,1,"large",0.999985136458352,"nk","bla bla","nk",0.00699392730977392,"k",6,6,6
"2",2,1,0.09728572,0.9915714,0.633846427,0.99031785715,0.349585929482349,1,"large",0.9999999999521,"nk","bla bla","nk",5.19025475022179e-05,"k",11,11,11
"3",3,2,0.09728572,0.99164283,0.7200535727,0.99031785715,0.389384955012037,1,"large",0.999996684866603,"nk","bla bla","nk",0.00359644655448198,"k",7,7,7
"4",4,3,0.097642854,0.99164283,0.6253607155,0.99031785715,0.395101774864712,1,"large",0.999999998012072,"nk","bla bla","nk",0.000191121388020708,"k",10,10,10
"5",5,4,0.09792857,0.99164283,0.54090000025,0.99031785715,0.389201320353169,1,"large",0.999999999999864,"nk","bla bla","nk",7.94465671732081e-06,"k",12,12,12
"6",6,5,0.5882857,0.99164283,0.9603964315,0.99031785715,0.0938057905808795,1,"small",0.993445034250719,"nk","bla bla","nk",0.161911382340559,"nk",4,2,2
"7",7,6,0.47657144,0.99114287,0.9373714305,0.99031785715,0.141149456553185,1,"medium",0.996989874317666,"nk","bla bla","nk",0.101651889287712,"nk",6,3,2
"8",8,7,0.9887143,0.99164283,0.9903178575,0.99031785715,0.000892880545849539,1,"negligible",0.950000000000077,"nk","bla bla","nk",0.999999017446501,"nk",0,0,0
