Mutation Number,Run Number,Accuracy,Loss
1,0,0.14366666666666666,2.374092866897583
1,1,0.13758333333333334,2.279207031885783
1,2,0.10008333333333333,2.7400346215566
1,3,0.1135,2.32791992632548
1,4,0.10691666666666666,2.3721537939707438
1,5,0.10366666666666667,2.6375397548675537
1,6,0.14775,2.255276789347331
1,7,0.13558333333333333,2.3028446706136068
1,8,0.148,2.2659011313120523
1,9,0.14691666666666667,2.329796735127767
1,10,0.1075,2.668614725748698
1,11,0.13616666666666666,2.387026050567627
1,12,0.10883333333333334,2.688385320027669
1,13,0.099,2.6804315910339356
1,14,0.15533333333333332,2.2786162865956623
1,15,0.15841666666666668,2.2786848538716633
1,16,0.1385,2.257107368469238
1,17,0.10791666666666666,2.4712599493662517
1,18,0.11058333333333334,2.3603654677073163
1,19,0.115,2.7897425842285157
2,0,0.10316666666666667,2.36327046585083
2,1,0.1025,2.3503700981140137
2,2,0.10166666666666667,2.363343432744344
2,3,0.09975,2.3180827356974283
2,4,0.09991666666666667,2.3467048905690513
2,5,0.10016666666666667,2.4019076035817464
2,6,0.10041666666666667,2.3829663022359213
2,7,0.10058333333333333,2.3673504797617593
2,8,0.1015,2.3444213320414224
2,9,0.10108333333333333,2.3184102706909178
2,10,0.09591666666666666,2.3890049311319985
2,11,0.09508333333333334,2.3219362646738686
2,12,0.10083333333333333,2.346432538350423
2,13,0.10325,2.363897404352824
2,14,0.102,2.347453035354614
2,15,0.10266666666666667,2.3554618663787843
2,16,0.09641666666666666,2.344729616800944
2,17,0.09991666666666667,2.319843760172526
2,18,0.10433333333333333,2.3147374000549314
2,19,0.10175,2.3277726993560792
3,0,0.10116666666666667,2.551523562113444
3,1,0.117,2.5460369873046873
3,2,0.11741666666666667,2.585229435602824
3,3,0.09775,3.374219535191854
3,4,0.11066666666666666,3.704142671585083
3,5,0.09966666666666667,3.1350786863962807
3,6,0.10425,3.624753701527913
3,7,0.11608333333333333,3.240199940999349
3,8,0.11925,2.557178726832072
3,9,0.11641666666666667,2.5357962080637613
3,10,0.10316666666666667,2.8893468990325926
3,11,0.11425,3.3877307046254477
3,12,0.107,2.664887772878011
3,13,0.11616666666666667,2.5427103843688963
3,14,0.11558333333333333,2.634570655822754
