"Run Number","Mutation Number","Percentage","Flip Percentage","Accuracy1","Loss1","Accuracy2","Loss2"
0,2,5,100,0.9954134816,0.0173422671,0.9891256429,0.0327514441
0,3,5,100,0.9947185546,0.0172164319,0.987803086,0.0362151684
0,4,5,100,0.995552467,0.0185068319,0.9889786921,0.0318198275
1,0,5,100,0.9947251527,0.0194586251,0.9898469688,0.0336089781
1,1,5,100,0.9936146585,0.0241787996,0.9880812243,0.0333202621
1,2,5,100,0.9944475292,0.0223253938,0.9892583873,0.0343930616
1,3,5,100,0.9940310938,0.0212992083,0.989552678,0.0338091773
1,4,5,100,0.9948639645,0.0218494683,0.9877869335,0.037687379
2,0,5,100,0.9945339874,0.0169411084,0.9915513474,0.0285641611
2,1,5,100,0.9935529082,0.0185296538,0.9908230153,0.0299009861
2,2,5,100,0.9941135249,0.018881171,0.9918426803,0.0284537301
2,3,5,100,0.9932725999,0.0216383373,0.9915513474,0.0305011128
2,4,5,100,0.9948142957,0.0159120449,0.9928623452,0.0267066468
3,0,5,100,0.9930410578,0.024160218,0.9885546588,0.035397204
3,1,5,100,0.995546277,0.0168058931,0.9881144534,0.0355347742
3,2,5,100,0.9948503827,0.0200195043,0.98972854,0.0348381748
3,3,5,100,0.9945720251,0.0194837048,0.98972854,0.032605474
3,4,5,100,0.9940153097,0.0196207483,0.990755686,0.031072401
4,0,5,100,0.9938228275,0.0237861322,0.9909844409,0.0327281701
4,1,5,100,0.9949459497,0.020085143,0.9908390286,0.0315090015
4,2,5,100,0.9953671206,0.0188695771,0.9896757307,0.0330359758
4,3,5,100,0.9936824372,0.0231262552,0.9901119674,0.0333170846
4,4,5,100,0.9945247789,0.0216375771,0.9902573797,0.034385716
0,0,10,25,0.99485754,0.0188623136,0.9907421014,0.0325416893
0,1,10,25,0.9951355108,0.0186934006,0.9880969875,0.037890448
0,2,10,25,0.9941626129,0.0215601781,0.9886847906,0.033907481
0,3,10,25,0.9931897151,0.0224825702,0.989713446,0.0344378882
0,4,10,25,0.9947185546,0.0182008681,0.9883908891,0.0349522917
1,0,10,25,0.9937534703,0.0234630963,0.9880812243,0.0371586598
1,1,10,25,0.9941699056,0.0238539861,0.9879340789,0.0395715885
1,2,10,25,0.9945863409,0.0213368147,0.9889640966,0.0331626185
1,3,10,25,0.9943087174,0.0243226704,0.9899941142,0.0342573404
1,4,10,25,0.9938922821,0.022497838,0.9892583873,0.0334881961
2,0,10,25,0.993412754,0.0205067501,0.9922796795,0.0282255668
2,1,10,25,0.9950946041,0.0167764556,0.9918426803,0.0294971486
2,2,10,25,0.9924316748,0.0235943439,0.9916970138,0.0290348398
2,3,10,25,0.9950946041,0.0175971115,0.9911143481,0.028091626
