Mutation Number,Run Number,Accuracy1,Loss1,Accuracy2,Loss2
59,4,0.992278534,0.025786746,0.99025738,0.032536499
59,5,0.993982648,0.023951128,0.989641085,0.031452403
59,6,0.992114897,0.022909709,0.988837344,0.0371843
59,7,0.994816475,0.018564169,0.988633052,0.034606879
59,8,0.994550789,0.021104521,0.988601491,0.037430565
59,9,0.995096666,0.021648207,0.988487321,0.03454124
59,10,0.993889738,0.019862085,0.989263127,0.035927897
59,11,0.996042962,0.013731198,0.98859041,0.034724396
59,12,0.995514438,0.013402643,0.992280804,0.027606406
59,13,0.993171683,0.024878779,0.990328253,0.032101003
59,14,0.995184136,0.015655345,0.990778098,0.028500654
59,15,0.994186047,0.015780083,0.991587957,0.024415337
59,16,0.99500347,0.021745294,0.987932303,0.03396591
59,17,0.995376208,0.013976833,0.990528923,0.031685963
59,18,0.995564181,0.017618407,0.991747716,0.027718945
59,19,0.99512399,0.017584455,0.992084433,0.025460392
60,0,0.994023628,0.020856179,0.988390889,0.035057381
60,1,0.993337035,0.023083575,0.989258387,0.035254142
60,2,0.99495445,0.017318736,0.991697014,0.029716787
60,3,0.994293667,0.018585299,0.989141599,0.03315753
60,4,0.995367121,0.018521501,0.990111967,0.031566644
60,5,0.991743633,0.031105239,0.989495185,0.032866924
60,6,0.995635032,0.01648753,0.989417222,0.032914301
60,7,0.994816475,0.018597583,0.989361702,0.036368638
60,8,0.995109683,0.01982944,0.989332164,0.034563279
60,9,0.993695713,0.023478848,0.989070242,0.037580345
60,10,0.994584086,0.016274834,0.989851449,0.03247993
60,11,0.994771057,0.014916516,0.98830156,0.040079154
60,12,0.9941127,0.017030278,0.992280804,0.026786162
60,13,0.993171683,0.025090623,0.989742087,0.037036588
60,14,0.993767705,0.019181252,0.991066282,0.028495787
60,15,0.993078627,0.019511813,0.991292798,0.027301738
60,16,0.99278279,0.029441364,0.986313466,0.037981213
60,17,0.995236094,0.01396208,0.990237505,0.035242686
60,18,0.994732465,0.02050758,0.989832007,0.031347779
60,19,0.99512399,0.018493594,0.99135151,0.030490749
63,0,0.995135511,0.017094078,0.988390889,0.036913762
63,1,0.995002776,0.020018942,0.987051207,0.04050919
63,2,0.993693062,0.020735236,0.993008012,0.021553965
63,3,0.995546277,0.016688923,0.991049156,0.026635426
63,4,0.995928682,0.018335822,0.990548204,0.029268988
63,5,0.994962217,0.019598337,0.991100088,0.025491235
63,6,0.996057449,0.014730016,0.988402435,0.031258632
63,7,0.99495657,0.020486602,0.990236083,0.031562657
63,8,0.995249406,0.015981545,0.987724682,0.041111383
63,9,0.994536285,0.022461915,0.990964733,0.030481499
63,10,0.994861825,0.01407803,0.991763495,0.02700332
63,11,0.996890899,0.011246224,0.989023686,0.035599959
63,12,0.996355481,0.013594926,0.992135159,0.023232878
63,13,0.994565217,0.021342078,0.991354045,0.028439361
63,14,0.995750708,0.014074836,0.99092219,0.025598767
63,15,0.994462901,0.018113618,0.992621015,0.021631057
63,16,0.993615545,0.025180267,0.989992642,0.030649187
63,17,0.995656438,0.013814659,0.992131721,0.024567933
63,18,0.995148323,0.01653328,0.99071618,0.027912033
63,19,0.994566732,0.018882873,0.991644679,0.024522946
66,0,0.994440584,0.017554656,0.990007348,0.03338512
66,1,0.993892282,0.02213742,0.990876986,0.030287121
66,2,0.99495445,0.016638958,0.993153678,0.027995004
66,3,0.994711204,0.017796287,0.992076302,0.028456065
