Run Number,Mutation Number,Percentage,StDev,Accuracy,Loss
3,0,10,50,0.746228023,0.7410833
3,1,10,50,0.718289856,0.75158334
3,2,10,50,0.78492018,0.7331667
3,3,10,50,0.727776906,0.74766666
3,4,10,50,0.755826708,0.74191666
4,0,10,50,0.85052866,0.71458334
4,1,10,50,0.74726739,0.74658334
4,2,10,50,0.703315345,0.75825
4,3,10,50,0.735112218,0.75025
4,4,10,50,0.751607946,0.76316667
0,0,10,75,0.732575715,0.746
0,1,10,75,0.712820633,0.75908333
0,2,10,75,0.710625889,0.7585833
0,3,10,75,0.750473863,0.7514167
0,4,10,75,0.718911457,0.75775
1,0,10,75,0.715607594,0.757
1,1,10,75,0.759934375,0.7543333
1,2,10,75,0.730346432,0.757
1,3,10,75,0.736838449,0.74941665
1,4,10,75,0.750497496,0.74333334
2,0,10,75,0.74993294,0.7468333
2,1,10,75,0.722087946,0.7589167
2,2,10,75,0.714491054,0.7585
2,3,10,75,0.76541348,0.73433334
2,4,10,75,0.751552385,0.7525
3,0,10,75,0.749875895,0.74083334
3,1,10,75,0.704840476,0.7555
3,2,10,75,0.755312029,0.74116665
3,3,10,75,0.739090379,0.7495
3,4,10,75,0.748453508,0.74975
4,0,10,75,0.725283386,0.75375
4,1,10,75,0.795121861,0.73925
4,2,10,75,0.744049431,0.74616665
4,3,10,75,0.714635567,0.7525833
4,4,10,75,0.739748481,0.74341667
0,0,10,100,0.699650162,0.75808334
0,1,10,100,0.745191466,0.7456667
0,2,10,100,0.730225722,0.7589167
0,3,10,100,0.728193887,0.75416666
0,4,10,100,0.725964017,0.7525
1,0,10,100,0.707324817,0.7596667
1,1,10,100,0.764964675,0.7335
1,2,10,100,0.740697553,0.742
1,3,10,100,0.711059871,0.75825
1,4,10,100,0.751006839,0.74475
2,0,10,100,0.747449073,0.74341667
2,1,10,100,0.731503432,0.75416666
2,2,10,100,0.71767687,0.75491667
2,3,10,100,0.728735373,0.75158334
2,4,10,100,0.724196619,0.75408334
3,0,10,100,0.73528237,0.75025
3,1,10,100,0.738419813,0.74525
3,2,10,100,0.731270793,0.7428333
3,3,10,100,0.740817721,0.74233335
3,4,10,100,0.738668431,0.74541664
4,0,10,100,0.735866652,0.74916667
4,1,10,100,0.722002348,0.75308335
4,2,10,100,error,error
4,3,10,100,0.709361235,0.757
4,4,10,100,0.739038825,0.74083334
0,0,25,25,0.731245952,0.75025
0,1,25,25,0.736545846,0.74925
0,2,25,25,0.757534644,0.74658334
0,3,25,25,0.75400687,0.73925
0,4,25,25,0.75927614,0.7416667
1,0,25,25,0.798690527,0.734
1,1,25,25,0.764157394,0.73716664
1,2,25,25,0.789997848,0.7335
1,3,25,25,0.76104262,0.7528333
1,4,25,25,0.781626114,0.74016666
2,0,25,25,0.780692063,0.73158336
2,1,25,25,0.771432749,0.74091667
