Run Number,Mutation Number,Percentage,Accuracy,Loss
1,3,85,0.712166667,0.839320698
1,4,85,0.743,0.762412249
2,0,85,0.733916667,0.78873416
2,1,85,0.731,0.867698014
2,2,85,0.703166667,0.907598708
2,3,85,0.728166667,0.810596088
2,4,85,0.742666667,0.751663911
3,0,85,0.741,0.787729216
3,1,85,0.748833333,0.757702353
3,2,85,0.732,0.77411666
3,3,85,0.7355,0.79056744
3,4,85,0.733833333,0.783216508
4,0,85,0.723916667,0.798827803
4,1,85,0.728416667,0.813364614
4,2,85,0.709416667,0.895553983
4,3,85,0.716666667,0.844468328
4,4,85,0.72325,0.809578896
0,0,90,0.738416667,0.797813022
0,1,90,0.7115,0.883723696
0,2,90,0.743166667,0.783133667
0,3,90,0.720916667,0.858140554
0,4,90,0.69775,0.999246625
1,0,90,0.729333333,0.814191364
1,1,90,0.7325,0.803202372
1,2,90,0.730666667,0.823925305
1,3,90,0.694,0.908452751
1,4,90,0.726833333,0.832218798
2,0,90,0.721916667,0.837457307
2,1,90,0.710083333,0.865706747
2,2,90,0.701,0.922745709
2,3,90,0.699916667,0.911164924
2,4,90,0.704,0.963660507
3,0,90,0.713583333,0.916620317
3,1,90,0.698333333,1.001506427
3,2,90,0.707083333,0.916443469
3,3,90,0.723083333,0.81986527
3,4,90,0.682833333,1.009732738
4,0,90,0.739166667,0.801183438
4,1,90,0.69975,0.885965777
4,2,90,0.72925,0.830582054
4,3,90,0.71725,0.885974919
4,4,90,0.723666667,0.827422776
0,0,95,0.699583333,1.092736511
0,1,95,0.71375,0.898053014
0,2,95,0.68675,1.160839769
0,3,95,0.692,0.944551551
0,4,95,0.701333333,1.032106372
1,0,95,0.702083333,0.969447618
1,1,95,0.720833333,0.87740105
1,2,95,0.727916667,0.864200854
1,3,95,0.687416667,1.004136059
1,4,95,0.702166667,1.013576451
2,0,95,0.701,1.006185491
2,1,95,0.69925,1.055720981
2,2,95,0.71325,0.933182984
2,3,95,0.697,1.044587197
2,4,95,0.69925,0.960244098
3,0,95,0.719,0.893291107
3,1,95,0.710166667,0.995955247
3,2,95,0.71375,0.925816039
3,3,95,0.691416667,1.102487489
3,4,95,0.69575,1.009885001
4,0,95,0.691416667,1.111977423
4,1,95,0.692083333,1.019252761
4,2,95,0.685333333,1.065414452
4,3,95,0.689083333,1.038257199
4,4,95,0.712,0.98274954
0,0,99,0.686833333,1.916647673
0,1,99,0.673916667,1.825921748
0,2,99,0.683833333,1.728287964
0,3,99,0.687333333,1.80266951
0,4,99,0.687416667,1.945540558
1,0,99,0.678,1.826173875
1,1,99,0.6825,1.881717333
1,2,99,0.690583333,1.756169706
1,3,99,0.684166667,1.761657042
1,4,99,0.685166667,1.759547644
2,0,99,0.687,1.838217332
2,1,99,0.69075,1.746704076
2,2,99,0.673083333,1.872713873
2,3,99,0.680833333,1.794324953
2,4,99,0.69125,1.900393587
3,0,99,0.69,1.760696873
3,1,99,0.680416667,1.837357912
3,2,99,0.695583333,1.995275983
3,3,99,0.680833333,1.897543737
3,4,99,0.67625,1.813496204
4,0,99,0.68025,1.792862011
4,1,99,0.6805,1.775108934
4,2,99,0.671916667,1.954514686
4,3,99,0.688083333,1.850338638
4,4,99,0.68325,2.033213888
0,0,100,0.69175,2.151173177
0,1,100,0.693333333,2.210926983
0,2,100,0.691583333,2.183527199
0,3,100,0.671416667,2.281796552
0,4,100,0.68975,2.207423049
1,0,100,0.699916667,2.108424287
1,1,100,0.680166667,2.250478684
1,2,100,0.6985,2.15688891
1,3,100,0.672333333,2.254715351
1,4,100,0.683583333,2.268769915
2,0,100,0.6775,2.232115351
2,1,100,0.685416667,2.173443646
2,2,100,0.68025,2.232479323
2,3,100,0.679166667,2.189732451
2,4,100,0.67675,2.22683044
3,0,100,0.680166667,2.266801273
3,1,100,0.678,2.252063183
3,2,100,0.687416667,2.215631253
3,3,100,0.694916667,2.149883658
3,4,100,0.688333333,2.204496741
4,0,100,0.658666667,2.32510175
4,1,100,0.678916667,2.269257052
4,2,100,0.68675,2.243103513
4,3,100,0.6755,2.203780106
4,4,100,0.694,2.222582342
