"Run Number","Mutation Number","Percentage","Loss","Accuracy"
3,4,85,0.8670213619,0.73175
4,0,85,0.8976003609,0.7170833333
4,1,85,0.8656686815,0.7253333333
4,0,85,0.9188959807,0.72225
4,1,85,0.8870978535,0.7255833333
4,2,85,0.8296724995,0.7370833333
0,0,85,0.8967718996,0.7204166667
0,1,85,0.8438126881,0.7410833333
0,2,85,0.8689879897,0.7283333333
0,3,85,0.863913406,0.727
0,4,85,0.8390898261,0.7361666667
1,0,90,0.9834513797,0.7024166667
1,1,90,0.8444740032,0.734
1,2,90,0.8655688944,0.728
1,3,90,0.8522414439,0.7290833333
1,4,90,0.8818628428,0.7164166667
2,0,90,0.9260034169,0.7179166667
2,1,90,0.8728205415,0.7234166667
2,2,90,0.8825823132,0.7349166667
2,3,90,0.8566510441,0.7159166667
2,4,90,0.8340883955,0.744
3,0,90,0.9371375942,0.7210833333
3,1,90,0.8688523552,0.7374166667
3,2,90,0.8504526125,0.7331666667
3,3,90,0.8562326755,0.7325833333
3,4,90,0.8708061587,0.72425
4,0,90,0.953647639,0.704
4,1,90,0.8846203416,0.7146666667
4,2,90,0.885446768,0.73475
4,3,90,0.8715731053,0.7196666667
4,4,90,0.8760424506,0.7349166667
0,0,90,0.9321372794,0.7235
0,1,90,0.8603115745,0.7263333333
0,2,90,0.8676593757,0.7363333333
0,3,90,0.8919123567,0.7309166667
0,4,90,0.8601888804,0.7235833333
1,0,95,1.0631993326,0.6851666667
1,1,95,0.9030702566,0.7180833333
1,2,95,0.8961171338,0.7218333333
1,3,95,0.9578018719,0.7129166667
1,4,95,0.8883373315,0.723
2,0,95,1.0581413372,0.7034166667
2,1,95,0.9057488393,0.7135833333
2,2,95,0.867813655,0.7275833333
2,3,95,0.908637522,0.717
2,4,95,0.8914657009,0.7194166667
3,0,95,1.0347857734,0.69925
3,1,95,0.9012374963,0.7205
3,2,95,0.8956372841,0.7329166667
3,3,95,0.8916368234,0.7183333333
3,4,95,0.899516913,0.7185833333
4,0,95,1.2032795776,0.6920833333
4,1,95,0.9159588999,0.7061666667
4,2,95,0.9014042032,0.7206666667
4,3,95,0.8933883831,0.7205833333
4,4,95,0.8960998385,0.7229166667
0,0,95,1.0942323564,0.685
0,1,95,0.9064830718,0.7211666667
0,2,95,0.8922938737,0.73325
0,3,95,0.9139307686,0.703
0,4,95,0.8742098355,0.7301666667
1,0,99,1.5986727695,0.6949166667
1,1,99,1.0002143316,0.6973333333
1,2,99,0.9744548645,0.70425
1,3,99,0.9367987868,0.6965
1,4,99,0.9309407109,0.7213333333
2,0,99,1.7530937584,0.6858333333
2,1,99,0.9153541028,0.71275
2,2,99,0.9144354656,0.716
2,3,99,0.9281327072,0.7139166667
2,4,99,0.8965570704,0.7145
3,0,99,1.4478683572,0.6915833333
3,1,99,0.9358702784,0.7061666667
3,2,99,0.9235341442,0.7094166667
3,3,99,0.9255323985,0.7049166667
3,4,99,0.9515092572,0.7161666667
4,0,99,1.4108143903,0.6856666667
4,1,99,0.9239874576,0.712
4,2,99,0.9071219903,0.71725
4,3,99,0.9412410256,0.6961666667
4,4,99,0.9392998756,0.7141666667
0,0,99,1.4932548262,0.68125
0,1,99,0.9224288116,0.70725
0,2,99,0.9530495205,0.7093333333
0,3,99,0.9345011375,0.69675
0,4,99,0.9125023105,0.7144166667
1,0,100,1.8891558798,0.6934166667
1,1,100,0.931355055,0.7046666667
1,2,100,0.991776372,0.7053333333
1,3,100,0.9272917163,0.6990833333
1,4,100,0.9535675542,0.69925
2,0,100,2.0547444606,0.6966666667
2,1,100,0.9668617044,0.7035833333
2,2,100,0.9486199602,0.7178333333
2,3,100,0.9486605329,0.699
2,4,100,0.9592929838,0.7114166667
3,0,100,1.8880288914,0.7004166667
3,1,100,0.9284422172,0.71125
3,2,100,0.9402071098,0.7090833333
3,3,100,0.910330844,0.7079166667
3,4,100,1.0293705337,0.6948333333
4,0,100,1.9505749454,0.6986666667
4,1,100,0.9054067264,0.709
4,2,100,0.9421868163,0.7103333333
4,3,100,0.9161988386,0.71075
4,4,100,0.9173042885,0.70625
0,0,100,1.76557253,0.6938333333
0,1,100,0.9603737773,0.7085833333
0,2,100,0.9651806447,0.708
0,3,100,0.9724303315,0.6880833333
0,4,100,0.9986485554,0.6959166667
