"","num","perc","min","max","mean","orig_mean","sd","p-value","cohen_eff","power","killed","interval","bayesian_killed","glm_p","glm_killed","1percent","5percent","10percent"
"1",1,2,0.988112496,0.991697014,0.9895971691,0.98972055315,0.00101458350126059,1,"negligible",0.956738566558754,"nk","bla bla","nk",0.705512843441215,"nk",0,0,0
"2",2,4,0.987822557,0.991988347,0.9900720756,0.98972055315,0.00121503893070315,1,"small",0.981023861355917,"nk","bla bla","nk",0.330857226195791,"nk",0,0,0
"3",3,9,0.985724798,0.991405681,0.98846402995,0.98972055315,0.00129129857421449,1,"large",0.999999501064494,"nk","bla bla","nk",0.00161547157452728,"k",0,0,0
"4",4,12,0.002198769,0.747421161,0.2269381745,0.98972055315,0.180173690169034,1,"large",1,"nk","bla bla","nk",6.02751873176361e-21,"k",1,1,1
