Run Number,Mutation Number,Percentage,Std_Percentage,Loss,Accuracy
3,0,10,50,1.448876829,0.662916667
3,1,10,50,1.313739577,0.645833333
3,2,10,50,1.178078055,0.703166667
3,3,10,50,1.369262972,0.67075
3,4,10,50,1.296616653,0.67925
4,0,10,50,1.049219507,0.71875
4,1,10,50,0.993287794,0.738833333
4,2,10,50,1.313252648,0.668583333
4,3,10,50,0.984328216,0.733916667
4,4,10,50,1.462841339,0.662
0,0,10,75,1.231862447,0.681833333
0,1,10,75,1.379637171,0.665
0,2,10,75,1.040964876,0.72575
0,3,10,75,1.359392001,0.682416667
0,4,10,75,1.765942972,0.586833333
1,0,10,75,1.277138212,0.67675
1,1,10,75,1.147067828,0.716583333
1,2,10,75,1.078135845,0.72025
1,3,10,75,1.565584515,0.654833333
1,4,10,75,1.113220715,0.71475
2,0,10,75,1.224062165,0.687416667
2,1,10,75,1.093092747,0.709
2,2,10,75,1.060995294,0.704583333
2,3,10,75,1.42877843,0.664083333
2,4,10,75,1.238752028,0.687083333
3,0,10,75,1.203679047,0.6915
3,1,10,75,1.779740814,0.584916667
3,2,10,75,1.607948979,0.630833333
3,3,10,75,1.164323974,0.691166667
3,4,10,75,1.072458938,0.72
4,0,10,75,1.395122091,0.66
4,1,10,75,1.427131561,0.662083333
4,2,10,75,1.339856652,0.668333333
4,3,10,75,1.253531847,0.68
4,4,10,75,1.069455164,0.70825
0,0,10,100,1.382628376,0.627583333
0,1,10,100,1.212857091,0.70525
0,2,10,100,1.222805581,0.68875
0,3,10,100,0.937544337,0.744
0,4,10,100,1.677665496,0.635
1,0,10,100,1.117971633,0.7015
1,1,10,100,1.538694637,0.647416667
1,2,10,100,1.312125303,0.675833333
1,3,10,100,1.239803198,0.67825
1,4,10,100,1.151704396,0.707666667
2,0,10,100,1.41014364,0.65175
2,1,10,100,1.046449368,0.711416667
2,2,10,100,1.199237388,0.693416667
2,3,10,100,1.582727549,0.6365
2,4,10,100,1.425065288,0.656
3,0,10,100,1.355000808,0.687666667
3,1,10,100,1.099549099,0.72125
3,2,10,100,1.183454835,0.70325
3,3,10,100,1.491444159,0.651916667
3,4,10,100,1.714301147,0.617333333
4,0,10,100,1.300567885,0.672083333
4,1,10,100,1.323190961,0.680666667
4,2,10,100,1.3102391,0.675083333
4,3,10,100,1.2136997,0.701833333
4,4,10,100,1.447715749,0.659666667
0,0,25,25,2.156174884,0.575166667
0,1,25,25,1.46552425,0.643166667
0,2,25,25,1.995102322,0.553333333
0,3,25,25,1.10645204,0.718083333
0,4,25,25,1.174884062,0.69375
1,0,25,25,1.526378618,0.640666667
1,1,25,25,1.351219596,0.667333333
1,2,25,25,1.053633899,0.72325
1,3,25,25,1.107973534,0.705
1,4,25,25,1.415330598,0.68175
2,0,25,25,1.09029062,0.704416667
2,1,25,25,1.267960738,0.6895
2,2,25,25,1.085912871,0.711083333
2,3,25,25,1.337287138,0.680583333
2,4,25,25,1.394643535,0.647416667
3,0,25,25,1.528918631,0.632583333
3,1,25,25,1.456570558,0.634833333
3,2,25,25,0.999987127,0.721416667
3,3,25,25,1.893440269,0.6015
3,4,25,25,1.057370331,0.726583333
4,0,25,25,1.045041011,0.711166667
4,1,25,25,2.057469223,0.576166667
4,2,25,25,1.304804254,0.645833333
4,3,25,25,1.133866165,0.701916667
4,4,25,25,1.394512531,0.645666667
0,0,25,50,1.470730367,0.60875
0,1,25,50,1.054707419,0.718583333
0,2,25,50,1.523329836,0.603583333
0,3,25,50,1.158934962,0.71675
0,4,25,50,1.347684002,0.66
1,0,25,50,1.591935251,0.608
1,1,25,50,1.195592941,0.69125
1,2,25,50,1.599879391,0.642333333
1,3,25,50,1.240470707,0.693166667
1,4,25,50,1.195998072,0.69975
2,0,25,50,1.276387156,0.679083333
2,1,25,50,1.62599968,0.644333333
2,2,25,50,1.068693827,0.708333333
2,3,25,50,1.356042776,0.64375
2,4,25,50,1.199836181,0.677916667
3,0,25,50,1.087799983,0.715333333
3,1,25,50,1.183866773,0.695
3,2,25,50,1.152024405,0.69225
3,3,25,50,1.206684803,0.69075
3,4,25,50,1.271135705,0.673583333
4,0,25,50,1.516421845,0.628416667
4,1,25,50,1.612578909,0.633166667
4,2,25,50,1.179516748,0.71375
4,3,25,50,1.348809405,0.665666667
4,4,25,50,1.762245258,0.586083333
0,0,25,75,1.650643147,0.58525
0,1,25,75,1.188545131,0.701166667
0,2,25,75,1.104010765,0.69275
0,3,25,75,1.34738014,0.648916667
0,4,25,75,0.989173623,0.72075
1,0,25,75,1.222866374,0.695333333
1,1,25,75,1.430994075,0.656666667
1,2,25,75,1.559982719,0.579333333
1,3,25,75,1.47958952,0.657416667
1,4,25,75,1.01908051,0.72425
2,0,25,75,1.21033534,0.692666667
2,1,25,75,1.269399834,0.664916667
2,2,25,75,1.267748293,0.64775
2,3,25,75,1.504484028,0.619166667
2,4,25,75,1.979307807,0.590666667
3,0,25,75,1.130435271,0.70325
3,1,25,75,1.09929679,0.704416667
3,2,25,75,1.492113644,0.640333333
3,3,25,75,1.28157921,0.675583333
3,4,25,75,1.399296892,0.654833333
4,0,25,75,1.245962234,0.660916667
4,1,25,75,1.224155332,0.665416667
4,2,25,75,1.50318453,0.601916667
4,3,25,75,1.223446606,0.687916667
4,4,25,75,0.97570219,0.724416667
0,0,25,100,1.55144082,0.635333333
0,1,25,100,1.212370966,0.681583333
0,2,25,100,0.946728847,0.733833333
0,3,25,100,1.132768163,0.70775
0,4,25,100,1.2338977,0.679166667
1,0,25,100,2.350379459,0.504833333
1,1,25,100,1.135616303,0.707083333
1,2,25,100,1.279622654,0.692166667
1,3,25,100,1.113485946,0.722583333
1,4,25,100,1.202463024,0.70475
2,0,25,100,1.135823449,0.685916667
2,1,25,100,1.347904109,0.653916667
2,2,25,100,0.988939806,0.718416667
2,3,25,100,1.303835659,0.68125
2,4,25,100,1.25768182,0.673666667
3,0,25,100,1.312606996,0.65075
3,1,25,100,1.199408243,0.696166667
3,2,25,100,1.364974359,0.64375
3,3,25,100,1.534064642,0.6345
3,4,25,100,1.268143417,0.67575
4,0,25,100,1.272303006,0.68375
4,1,25,100,1.35461481,0.646416667
4,2,25,100,1.412180432,0.652166667
4,3,25,100,1.460338498,0.624333333
4,4,25,100,1.66544991,0.611166667
0,0,50,25,2.132091355,0.531666667
0,1,50,25,1.477148678,0.605166667
0,2,50,25,1.422060027,0.654583333
0,3,50,25,1.288088177,0.622583333
0,4,50,25,2.289469886,0.45975
1,0,50,25,1.301784698,0.650916667
1,1,50,25,2.313274338,0.465
1,2,50,25,1.200045971,0.653166667
1,3,50,25,1.084074746,0.687666667
1,4,50,25,1.369933785,0.63225
2,0,50,25,1.294143566,0.647166667
2,1,50,25,1.757834095,0.5765
2,2,50,25,1.471878946,0.62225
2,3,50,25,1.656172209,0.579333333
2,4,50,25,1.4800188,0.610666667
3,0,50,25,1.49512266,0.623583333
3,1,50,25,1.272032688,0.64125
3,2,50,25,2.341686189,0.47025
3,3,50,25,1.341740959,0.620916667
3,4,50,25,1.4973096,0.584833333
4,0,50,25,1.340431714,0.643
4,1,50,25,1.521080799,0.628583333
4,2,50,25,1.247259197,0.638
4,3,50,25,1.420784608,0.627916667
4,4,50,25,1.325037094,0.638083333
0,0,50,50,1.264842939,0.649083333
0,1,50,50,1.699775929,0.57025
0,2,50,50,1.456412021,0.61325
0,3,50,50,1.621885002,0.6115
0,4,50,50,1.299854432,0.619916667
1,0,50,50,1.341159108,0.633083333
1,1,50,50,1.244155363,0.640416667
1,2,50,50,1.631766039,0.58225
1,3,50,50,1.32010444,0.641
1,4,50,50,1.530629198,0.604416667
2,0,50,50,1.225549303,0.670833333
2,1,50,50,1.598524846,0.624
2,2,50,50,1.365154257,0.616833333
2,3,50,50,1.365075745,0.633083333
2,4,50,50,1.62714673,0.586833333
3,0,50,50,1.274311468,0.65525
3,1,50,50,1.355630921,0.638166667
3,2,50,50,1.743149666,0.542416667
3,3,50,50,1.22025953,0.635083333
3,4,50,50,1.844733993,0.561833333
4,0,50,50,1.432601708,0.59025
4,1,50,50,1.248354853,0.66425
4,2,50,50,1.407977154,0.627
4,3,50,50,1.311775895,0.666
4,4,50,50,1.751363873,0.57975
0,0,50,75,1.323444124,0.639166667
0,1,50,75,1.697888441,0.597
0,2,50,75,1.58550706,0.589333333
0,3,50,75,1.172047233,0.663833333
0,4,50,75,1.347849359,0.647666667
1,0,50,75,1.285584757,0.652583333
1,1,50,75,1.312979246,0.656416667
1,2,50,75,1.369330306,0.6235
1,3,50,75,1.518192867,0.58425
1,4,50,75,1.353018854,0.654666667
2,0,50,75,1.446928788,0.612666667
2,1,50,75,1.557774841,0.602166667
2,2,50,75,1.347564269,0.621666667
2,3,50,75,1.422263386,0.628166667
2,4,50,75,1.883265766,0.558166667
3,0,50,75,1.507222878,0.599166667
3,1,50,75,1.694865301,0.57225
3,2,50,75,1.376840826,0.626416667
3,3,50,75,1.457295832,0.606666667
3,4,50,75,1.742746987,0.565916667
4,0,50,75,1.818867045,0.5545
4,1,50,75,1.560574358,0.58875
4,2,50,75,1.377911083,0.6215
4,3,50,75,1.680447596,0.555583333
4,4,50,75,1.675577101,0.559916667
0,0,50,100,1.439739562,0.605
0,1,50,100,1.510127819,0.587
0,2,50,100,1.47834179,0.622666667
0,3,50,100,1.301984078,0.632666667
0,4,50,100,1.804432875,0.562083333
1,0,50,100,1.205245841,0.667916667
1,1,50,100,1.592473664,0.596666667
1,2,50,100,1.344318337,0.63575
1,3,50,100,1.462105365,0.609833333
1,4,50,100,1.515633797,0.614
2,0,50,100,1.545294453,0.606333333
2,1,50,100,1.261119195,0.65425
2,2,50,100,1.629038891,0.573833333
2,3,50,100,1.560939229,0.57325
2,4,50,100,1.769839535,0.5565
3,0,50,100,1.489827624,0.60975
3,1,50,100,1.40348951,0.624916667
3,2,50,100,1.449347259,0.606583333
3,3,50,100,1.322238288,0.63975
3,4,50,100,1.315220227,0.644416667
4,0,50,100,1.377719732,0.619083333
4,1,50,100,1.629443956,0.569416667
4,2,50,100,1.650525309,0.559083333
4,3,50,100,1.512147081,0.594833333
4,4,50,100,1.540438967,0.596166667
0,0,75,25,1.872333469,0.522666667
0,1,75,25,1.720709452,0.515583333
0,2,75,25,1.656635604,0.488666667
0,3,75,25,1.44289826,0.548
0,4,75,25,1.278538302,0.596083333
1,0,75,25,1.22368232,0.6045
1,1,75,25,1.75061612,0.546083333
1,2,75,25,1.502281596,0.520083333
1,3,75,25,1.650075236,0.528416667
1,4,75,25,1.764996008,0.513666667
2,0,75,25,1.598642974,0.554333333
2,1,75,25,1.713865839,0.516583333
2,2,75,25,1.403422468,0.576666667
2,3,75,25,1.585838,0.5605
2,4,75,25,1.528618533,0.550083333
3,0,75,25,1.398228667,0.573666667
3,1,75,25,1.501096486,0.530833333
3,2,75,25,1.639848011,0.5295
