"Run Number","Mutation Number","Percentage","Accuracy","Loss"
3,2,80,0.7083333333,1.113546682
3,3,80,0.618,1.4318420769
3,4,80,0.6336666667,1.5500323933
4,0,80,0.6980833333,1.2030421897
4,1,80,0.6874166667,1.2744881937
4,2,80,0.6585,1.3861453721
4,3,80,0.6825,1.2370892553
4,4,80,0.608,1.7006956959
0,0,85,0.6836666665,1.0794550416
0,1,85,0.6954999998,1.1052638842
0,2,85,0.68125,1.2578230317
0,3,85,0.6938333335,1.1238389934
0,4,85,0.6968333335,1.1056574004
1,0,85,0.6892500002,1.217286102
1,1,85,0.6607499998,1.2353588451
1,2,85,0.6626666668,1.2122327337
1,3,85,0.6729166668,1.3527090718
1,4,85,0.7182500002,1.0559010232
2,0,85,0.6969166667,1.2105573937
2,1,85,0.6930833335,1.0288853463
2,2,85,0.6911666667,1.1708344329
2,3,85,0.6945,1.1587955036
2,4,85,0.7008333332,1.1755163848
3,0,85,0.63875,1.4479427239
3,1,85,0.7074166667,1.0907741832
3,2,85,0.708,1.0579448974
3,3,85,0.6738333333,1.2679910482
3,4,85,0.57075,1.8400283804
4,0,85,0.6624166667,1.2327847293
4,1,85,0.6833333333,1.267030407
4,2,85,0.6600833333,1.412558046
4,3,85,0.6525,1.4574301291
4,4,85,0.6713333333,1.2500286918
0,0,90,0.7095000002,1.1479103823
0,1,90,0.6689166667,1.1003369878
0,2,90,0.6764166665,1.13710381
0,3,90,0.6419999998,1.4103195594
0,4,90,0.6729166668,1.1799551943
1,0,90,0.6975833335,1.074673264
1,1,90,0.6588333333,1.2756146088
1,2,90,0.6940833333,1.1475713431
1,3,90,0.7131666668,1.1068643347
1,4,90,0.676,1.2625623732
2,0,90,0.6894166668,1.0375059764
2,1,90,0.7043333333,1.1362296022
2,2,90,0.6553333333,1.1553491284
2,3,90,0.6711666665,1.2532390137
2,4,90,0.6716666665,1.0926872285
3,0,90,0.6226666667,1.5248959792
3,1,90,0.6805833333,1.2368401273
3,2,90,0.6683333333,1.2470020223
3,3,90,0.57975,1.6914844128
3,4,90,0.6528333333,1.4728825178
4,0,90,0.6374166667,1.4721363247
4,1,90,0.5714166667,1.8861455698
4,2,90,0.6879166667,1.4436458807
4,3,90,0.625,1.7154345551
4,4,90,0.5793333333,1.8387157857
0,0,95,0.6886666668,1.0661450059
0,1,95,0.6444166665,1.4317150056
0,2,95,0.6848333332,1.1962977304
0,3,95,0.6563333335,1.3368093777
0,4,95,0.7010833332,1.071980166
1,0,95,0.6915000002,1.1185736977
1,1,95,0.6716666668,1.3059379746
1,2,95,0.6832499998,1.1837346223
1,3,95,0.6413333332,1.359897342
1,4,95,0.6393333332,1.4764861492
2,0,95,0.654,1.4382808342
2,1,95,0.6830833333,1.3070536592
2,2,95,0.5321666667,2.6093673032
2,3,95,0.6070833333,1.7759976497
2,4,95,0.64075,1.3884634406
3,0,95,0.6085,1.657925909
